Provider,PotentialFraud
PRV51001,NO
PRV51003,YES
PRV51004,NO
PRV51005,YES
PRV51007,NO
PRV51008,NO
PRV51011,NO
PRV51012,NO
PRV51013,NO
PRV51014,NO
PRV51015,NO
PRV51016,NO
PRV51017,NO
PRV51021,YES
PRV51023,NO
PRV51024,NO
PRV51025,NO
PRV51026,NO
PRV51027,NO
PRV51029,NO
PRV51030,NO
PRV51031,NO
PRV51032,NO
PRV51035,NO
PRV51036,NO
PRV51037,YES
PRV51038,NO
PRV51040,NO
PRV51041,NO
PRV51042,NO
PRV51043,NO
PRV51044,NO
PRV51045,NO
PRV51046,NO
PRV51047,NO
PRV51048,NO
PRV51049,NO
PRV51052,YES
PRV51053,NO
PRV51054,NO
PRV51055,NO
PRV51056,NO
PRV51057,NO
PRV51058,NO
PRV51059,YES
PRV51060,NO
PRV51061,NO
PRV51062,NO
PRV51063,NO
PRV51064,YES
PRV51065,NO
PRV51066,NO
PRV51067,YES
PRV51068,NO
PRV51070,NO
PRV51071,NO
PRV51072,NO
PRV51074,NO
PRV51075,NO
PRV51076,NO
PRV51077,YES
PRV51078,NO
PRV51081,NO
PRV51082,NO
PRV51083,NO
PRV51084,YES
PRV51086,NO
PRV51089,NO
PRV51090,NO
PRV51091,NO
PRV51093,NO
PRV51096,NO
PRV51097,NO
PRV51098,NO
PRV51100,NO
PRV51101,NO
PRV51102,NO
PRV51103,YES
PRV51104,NO
PRV51105,NO
PRV51108,NO
PRV51109,NO
PRV51110,NO
PRV51111,NO
PRV51112,NO
PRV51113,NO
PRV51114,NO
PRV51115,NO
PRV51117,NO
PRV51118,NO
PRV51119,YES
PRV51120,NO
PRV51121,NO
PRV51122,NO
PRV51123,NO
PRV51125,NO
PRV51126,YES
PRV51128,NO
PRV51129,NO
PRV51130,NO
PRV51131,NO
PRV51132,NO
PRV51134,NO
PRV51135,NO
PRV51136,NO
PRV51137,NO
PRV51138,NO
PRV51139,NO
PRV51140,NO
PRV51141,NO
PRV51142,NO
PRV51143,NO
PRV51144,NO
PRV51145,YES
PRV51146,YES
PRV51147,NO
PRV51148,YES
PRV51149,YES
PRV51151,NO
PRV51152,NO
PRV51153,NO
PRV51154,NO
PRV51155,NO
PRV51156,NO
PRV51159,YES
PRV51160,NO
PRV51164,NO
PRV51165,NO
PRV51166,NO
PRV51167,NO
PRV51168,NO
PRV51169,NO
PRV51170,YES
PRV51171,NO
PRV51173,YES
PRV51175,NO
PRV51176,NO
PRV51178,YES
PRV51179,NO
PRV51180,NO
PRV51181,NO
PRV51183,NO
PRV51185,NO
PRV51186,NO
PRV51189,NO
PRV51190,NO
PRV51191,NO
PRV51194,NO
PRV51196,NO
PRV51198,NO
PRV51200,NO
PRV51201,NO
PRV51202,NO
PRV51203,NO
PRV51204,NO
PRV51205,NO
PRV51206,NO
PRV51207,NO
PRV51209,NO
PRV51210,NO
PRV51211,NO
PRV51212,NO
PRV51213,NO
PRV51214,NO
PRV51215,NO
PRV51216,NO
PRV51217,NO
PRV51218,NO
PRV51219,NO
PRV51221,NO
PRV51222,NO
PRV51224,NO
PRV51225,NO
PRV51226,NO
PRV51228,NO
PRV51229,NO
PRV51230,NO
PRV51231,NO
PRV51232,NO
PRV51233,NO
PRV51234,NO
PRV51235,NO
PRV51236,NO
PRV51237,NO
PRV51238,NO
PRV51239,NO
PRV51240,NO
PRV51241,NO
PRV51242,YES
PRV51243,NO
PRV51244,YES
PRV51245,NO
PRV51247,NO
PRV51248,NO
PRV51249,YES
PRV51250,NO
PRV51251,NO
PRV51252,NO
PRV51253,NO
PRV51255,NO
PRV51256,NO
PRV51258,NO
PRV51259,NO
PRV51260,NO
PRV51261,NO
PRV51262,NO
PRV51263,YES
PRV51264,NO
PRV51265,NO
PRV51266,NO
PRV51267,NO
PRV51271,NO
PRV51272,NO
PRV51273,NO
PRV51274,NO
PRV51276,NO
PRV51277,NO
PRV51279,NO
PRV51280,NO
PRV51281,NO
PRV51282,NO
PRV51284,NO
PRV51285,NO
PRV51286,NO
PRV51287,NO
PRV51288,NO
PRV51289,NO
PRV51290,NO
PRV51292,NO
PRV51293,NO
PRV51295,NO
PRV51296,NO
PRV51297,NO
PRV51298,NO
PRV51299,NO
PRV51300,NO
PRV51301,NO
PRV51302,NO
PRV51303,NO
PRV51304,NO
PRV51305,NO
PRV51306,NO
PRV51307,NO
PRV51308,NO
PRV51309,NO
PRV51311,NO
PRV51312,NO
PRV51313,NO
PRV51314,NO
PRV51315,NO
PRV51316,NO
PRV51318,NO
PRV51322,NO
PRV51323,NO
PRV51324,NO
PRV51325,NO
PRV51326,NO
PRV51327,NO
PRV51328,NO
PRV51329,NO
PRV51330,NO
PRV51331,NO
PRV51334,NO
PRV51335,NO
PRV51336,NO
PRV51337,YES
PRV51338,YES
PRV51340,NO
PRV51341,NO
PRV51342,NO
PRV51344,NO
PRV51345,NO
PRV51346,NO
PRV51347,YES
PRV51348,NO
PRV51349,NO
PRV51350,NO
PRV51351,NO
PRV51352,NO
PRV51353,NO
PRV51354,NO
PRV51355,NO
PRV51356,NO
PRV51357,YES
PRV51358,NO
PRV51360,NO
PRV51361,NO
PRV51362,NO
PRV51363,NO
PRV51364,NO
PRV51366,NO
PRV51368,NO
PRV51369,YES
PRV51371,NO
PRV51376,NO
PRV51377,NO
PRV51378,YES
PRV51379,NO
PRV51380,NO
PRV51382,NO
PRV51383,NO
PRV51386,NO
PRV51387,NO
PRV51388,NO
PRV51389,NO
PRV51390,YES
PRV51391,NO
PRV51392,NO
PRV51393,YES
PRV51394,NO
PRV51395,NO
PRV51396,NO
PRV51397,NO
PRV51398,NO
PRV51399,YES
PRV51401,YES
PRV51403,NO
PRV51404,NO
PRV51405,NO
PRV51406,NO
PRV51408,NO
PRV51409,NO
PRV51410,YES
PRV51412,NO
PRV51414,NO
PRV51415,NO
PRV51416,NO
PRV51418,NO
PRV51419,NO
PRV51421,YES
PRV51422,NO
PRV51423,NO
PRV51424,NO
PRV51425,NO
PRV51426,YES
PRV51427,NO
PRV51428,NO
PRV51429,NO
PRV51430,NO
PRV51431,NO
PRV51432,NO
PRV51433,YES
PRV51434,YES
PRV51435,NO
PRV51436,NO
PRV51437,NO
PRV51438,NO
PRV51439,NO
PRV51440,NO
PRV51441,NO
PRV51442,NO
PRV51443,NO
PRV51444,NO
PRV51446,NO
PRV51447,YES
PRV51448,NO
PRV51449,NO
PRV51451,NO
PRV51453,NO
PRV51454,NO
PRV51455,NO
PRV51456,NO
PRV51458,NO
PRV51459,YES
PRV51460,NO
PRV51462,NO
PRV51464,NO
PRV51465,NO
PRV51466,NO
PRV51467,NO
PRV51468,NO
PRV51469,NO
PRV51470,NO
PRV51471,YES
PRV51472,NO
PRV51474,NO
PRV51475,NO
PRV51476,NO
PRV51477,NO
PRV51478,NO
PRV51479,NO
PRV51480,YES
PRV51482,YES
PRV51483,NO
PRV51484,NO
PRV51486,NO
PRV51487,NO
PRV51488,NO
PRV51490,YES
PRV51491,NO
PRV51492,NO
PRV51494,NO
PRV51495,YES
PRV51496,NO
PRV51497,NO
PRV51499,NO
PRV51500,NO
PRV51501,YES
PRV51502,NO
PRV51503,NO
PRV51504,NO
PRV51505,NO
PRV51507,YES
PRV51508,NO
PRV51509,NO
PRV51510,NO
PRV51511,NO
PRV51514,NO
PRV51515,NO
PRV51516,NO
PRV51517,NO
PRV51518,NO
PRV51521,NO
PRV51522,NO
PRV51523,NO
PRV51525,NO
PRV51526,NO
PRV51527,NO
PRV51528,NO
PRV51529,NO
PRV51531,NO
PRV51532,NO
PRV51533,NO
PRV51534,NO
PRV51535,NO
PRV51536,NO
PRV51539,YES
PRV51540,NO
PRV51541,NO
PRV51542,YES
PRV51544,NO
PRV51546,NO
PRV51547,NO
PRV51549,NO
PRV51550,NO
PRV51551,NO
PRV51552,NO
PRV51553,NO
PRV51554,NO
PRV51555,NO
PRV51556,NO
PRV51557,NO
PRV51558,NO
PRV51560,YES
PRV51562,NO
PRV51563,NO
PRV51564,NO
PRV51566,NO
PRV51567,YES
PRV51568,NO
PRV51569,NO
PRV51570,NO
PRV51571,NO
PRV51572,NO
PRV51573,NO
PRV51574,YES
PRV51576,NO
PRV51577,NO
PRV51578,YES
PRV51579,NO
PRV51580,NO
PRV51582,NO
PRV51583,NO
PRV51584,YES
PRV51585,NO
PRV51586,YES
PRV51587,NO
PRV51588,NO
PRV51590,YES
PRV51592,NO
PRV51593,YES
PRV51595,NO
PRV51596,NO
PRV51598,NO
PRV51599,NO
PRV51600,NO
PRV51601,NO
PRV51602,NO
PRV51604,YES
PRV51605,NO
PRV51606,NO
PRV51607,NO
PRV51608,NO
PRV51609,NO
PRV51610,NO
PRV51611,NO
PRV51612,NO
PRV51613,NO
PRV51614,YES
PRV51616,NO
PRV51617,NO
PRV51618,NO
PRV51619,NO
PRV51620,NO
PRV51621,NO
PRV51622,NO
PRV51623,NO
PRV51624,NO
PRV51625,NO
PRV51626,NO
PRV51627,NO
PRV51628,NO
PRV51629,NO
PRV51630,NO
PRV51631,NO
PRV51632,NO
PRV51634,NO
PRV51635,NO
PRV51636,NO
PRV51637,NO
PRV51638,NO
PRV51639,NO
PRV51640,NO
PRV51641,NO
PRV51642,NO
PRV51644,NO
PRV51645,NO
PRV51647,NO
PRV51650,NO
PRV51652,NO
PRV51653,NO
PRV51654,NO
PRV51655,NO
PRV51656,NO
PRV51657,NO
PRV51658,NO
PRV51660,NO
PRV51661,NO
PRV51664,NO
PRV51665,NO
PRV51666,NO
PRV51668,NO
PRV51669,NO
PRV51670,NO
PRV51671,NO
PRV51672,NO
PRV51673,NO
PRV51674,NO
PRV51675,NO
PRV51676,NO
PRV51678,NO
PRV51679,NO
PRV51681,NO
PRV51682,NO
PRV51685,NO
PRV51687,NO
PRV51688,NO
PRV51689,NO
PRV51690,NO
PRV51691,NO
PRV51692,NO
PRV51693,NO
PRV51694,NO
PRV51695,NO
PRV51696,NO
PRV51697,NO
PRV51698,NO
PRV51699,NO
PRV51702,NO
PRV51703,NO
PRV51704,NO
PRV51705,NO
PRV51706,NO
PRV51707,NO
PRV51708,NO
PRV51709,NO
PRV51710,NO
PRV51711,NO
PRV51712,NO
PRV51713,NO
PRV51715,NO
PRV51716,NO
PRV51718,NO
PRV51719,NO
PRV51720,NO
PRV51721,NO
PRV51722,NO
PRV51723,NO
PRV51724,NO
PRV51725,NO
PRV51726,NO
PRV51727,NO
PRV51729,NO
PRV51731,NO
PRV51732,NO
PRV51733,NO
PRV51734,NO
PRV51735,NO
PRV51736,NO
PRV51737,NO
PRV51738,NO
PRV51739,NO
PRV51740,NO
PRV51741,NO
PRV51742,NO
PRV51743,NO
PRV51744,NO
PRV51745,NO
PRV51746,NO
PRV51747,NO
PRV51748,NO
PRV51749,NO
PRV51750,NO
PRV51751,NO
PRV51752,NO
PRV51753,NO
PRV51754,NO
PRV51755,NO
PRV51758,NO
PRV51759,NO
PRV51761,NO
PRV51762,NO
PRV51763,NO
PRV51764,NO
PRV51765,NO
PRV51766,NO
PRV51767,NO
PRV51769,NO
PRV51770,NO
PRV51771,NO
PRV51773,NO
PRV51774,NO
PRV51775,NO
PRV51776,NO
PRV51778,NO
PRV51779,NO
PRV51780,NO
PRV51781,NO
PRV51784,NO
PRV51786,NO
PRV51787,NO
PRV51788,NO
PRV51789,NO
PRV51790,NO
PRV51792,NO
PRV51793,NO
PRV51794,NO
PRV51795,NO
PRV51796,NO
PRV51797,NO
PRV51798,NO
PRV51799,NO
PRV51801,NO
PRV51802,NO
PRV51803,NO
PRV51805,YES
PRV51806,NO
PRV51807,NO
PRV51809,NO
PRV51810,NO
PRV51811,NO
PRV51812,NO
PRV51813,NO
PRV51815,NO
PRV51816,NO
PRV51818,YES
PRV51819,NO
PRV51820,NO
PRV51821,NO
PRV51822,NO
PRV51823,NO
PRV51824,NO
PRV51826,YES
PRV51827,NO
PRV51828,NO
PRV51829,NO
PRV51830,NO
PRV51831,NO
PRV51833,NO
PRV51836,YES
PRV51837,NO
PRV51838,NO
PRV51840,YES
PRV51841,NO
PRV51842,YES
PRV51843,NO
PRV51845,NO
PRV51846,NO
PRV51847,NO
PRV51848,NO
PRV51849,NO
PRV51851,YES
PRV51852,NO
PRV51855,NO
PRV51856,NO
PRV51857,YES
PRV51858,NO
PRV51859,NO
PRV51860,NO
PRV51861,NO
PRV51862,NO
PRV51863,NO
PRV51864,NO
PRV51865,NO
PRV51867,NO
PRV51868,YES
PRV51869,NO
PRV51870,NO
PRV51871,NO
PRV51872,NO
PRV51873,YES
PRV51874,NO
PRV51875,NO
PRV51876,YES
PRV51877,NO
PRV51878,NO
PRV51879,NO
PRV51884,NO
PRV51885,NO
PRV51886,NO
PRV51887,NO
PRV51888,NO
PRV51889,NO
PRV51890,NO
PRV51891,NO
PRV51892,NO
PRV51894,NO
PRV51895,NO
PRV51896,NO
PRV51897,NO
PRV51898,NO
PRV51899,NO
PRV51901,NO
PRV51902,NO
PRV51905,NO
PRV51906,NO
PRV51908,NO
PRV51909,NO
PRV51910,NO
PRV51911,NO
PRV51913,NO
PRV51914,NO
PRV51915,NO
PRV51916,NO
PRV51917,NO
PRV51918,NO
PRV51919,NO
PRV51920,YES
PRV51921,NO
PRV51922,NO
PRV51923,NO
PRV51924,NO
PRV51925,NO
PRV51926,NO
PRV51927,NO
PRV51928,NO
PRV51929,NO
PRV51930,NO
PRV51931,NO
PRV51932,NO
PRV51933,NO
PRV51934,NO
PRV51935,NO
PRV51936,NO
PRV51937,NO
PRV51938,NO
PRV51940,YES
PRV51941,NO
PRV51942,NO
PRV51943,NO
PRV51944,NO
PRV51946,NO
PRV51947,NO
PRV51948,YES
PRV51949,NO
PRV51950,NO
PRV51951,YES
PRV51952,NO
PRV51954,NO
PRV51956,NO
PRV51957,NO
PRV51958,NO
PRV51959,NO
PRV51960,NO
PRV51961,NO
PRV51963,NO
PRV51964,NO
PRV51965,NO
PRV51966,NO
PRV51967,NO
PRV51968,NO
PRV51969,NO
PRV51970,NO
PRV51972,NO
PRV51973,NO
PRV51974,NO
PRV51976,NO
PRV51977,NO
PRV51978,NO
PRV51979,YES
PRV51981,NO
PRV51983,NO
PRV51984,NO
PRV51987,NO
PRV51988,NO
PRV51989,NO
PRV51990,NO
PRV51991,NO
PRV51992,NO
PRV51993,NO
PRV51994,NO
PRV51995,NO
PRV51996,NO
PRV51998,NO
PRV51999,NO
PRV52001,NO
PRV52002,YES
PRV52003,NO
PRV52004,NO
PRV52007,NO
PRV52008,NO
PRV52009,NO
PRV52010,NO
PRV52011,NO
PRV52012,NO
PRV52013,NO
PRV52014,NO
PRV52017,NO
PRV52019,YES
PRV52020,YES
PRV52021,YES
PRV52022,NO
PRV52024,NO
PRV52025,NO
PRV52026,NO
PRV52027,NO
PRV52028,NO
PRV52029,NO
PRV52030,YES
PRV52031,NO
PRV52032,YES
PRV52037,NO
PRV52038,NO
PRV52039,NO
PRV52041,YES
PRV52042,NO
PRV52044,NO
PRV52045,YES
PRV52046,NO
PRV52047,NO
PRV52048,NO
PRV52049,NO
PRV52051,NO
PRV52052,NO
PRV52054,NO
PRV52055,NO
PRV52056,NO
PRV52057,NO
PRV52058,NO
PRV52059,YES
PRV52061,NO
PRV52062,NO
PRV52063,NO
PRV52064,YES
PRV52065,YES
PRV52066,YES
PRV52068,NO
PRV52069,NO
PRV52071,NO
PRV52072,NO
PRV52073,NO
PRV52074,NO
PRV52075,NO
PRV52076,NO
PRV52077,YES
PRV52079,NO
PRV52081,NO
PRV52082,NO
PRV52084,NO
PRV52085,NO
PRV52087,NO
PRV52088,NO
PRV52089,YES
PRV52090,NO
PRV52092,NO
PRV52094,NO
PRV52095,NO
PRV52097,NO
PRV52098,NO
PRV52099,NO
PRV52100,YES
PRV52101,NO
PRV52102,NO
PRV52104,NO
PRV52105,NO
PRV52107,NO
PRV52109,NO
PRV52111,NO
PRV52112,NO
PRV52113,NO
PRV52114,YES
PRV52115,YES
PRV52118,NO
PRV52119,YES
PRV52120,YES
PRV52121,NO
PRV52122,NO
PRV52123,YES
PRV52124,YES
PRV52126,NO
PRV52127,NO
PRV52128,NO
PRV52129,NO
PRV52130,NO
PRV52131,NO
PRV52133,NO
PRV52135,YES
PRV52136,NO
PRV52138,NO
PRV52140,NO
PRV52141,NO
PRV52142,NO
PRV52143,NO
PRV52144,NO
PRV52145,NO
PRV52146,NO
PRV52147,YES
PRV52148,NO
PRV52149,NO
PRV52150,NO
PRV52151,YES
PRV52152,NO
PRV52154,NO
PRV52155,NO
PRV52156,NO
PRV52157,NO
PRV52159,NO
PRV52160,NO
PRV52161,NO
PRV52162,NO
PRV52163,NO
PRV52165,YES
PRV52166,NO
PRV52167,NO
PRV52168,NO
PRV52169,NO
PRV52170,NO
PRV52171,NO
PRV52173,YES
PRV52174,NO
PRV52175,NO
PRV52176,NO
PRV52177,NO
PRV52178,YES
PRV52179,NO
PRV52180,NO
PRV52181,YES
PRV52182,NO
PRV52184,NO
PRV52185,NO
PRV52186,NO
PRV52187,NO
PRV52188,NO
PRV52189,NO
PRV52191,NO
PRV52192,NO
PRV52193,NO
PRV52195,YES
PRV52196,NO
PRV52197,NO
PRV52199,NO
PRV52200,NO
PRV52201,NO
PRV52202,NO
PRV52204,NO
PRV52205,NO
PRV52206,NO
PRV52208,NO
PRV52209,NO
PRV52211,NO
PRV52212,NO
PRV52213,NO
PRV52214,NO
PRV52216,NO
PRV52217,NO
PRV52218,NO
PRV52219,NO
PRV52220,NO
PRV52221,NO
PRV52222,NO
PRV52224,NO
PRV52225,NO
PRV52226,NO
PRV52227,NO
PRV52228,NO
PRV52229,NO
PRV52230,NO
PRV52231,NO
PRV52232,NO
PRV52233,NO
PRV52235,NO
PRV52236,NO
PRV52237,NO
PRV52238,NO
PRV52240,NO
PRV52241,NO
PRV52242,NO
PRV52246,NO
PRV52247,NO
PRV52248,NO
PRV52249,NO
PRV52251,NO
PRV52252,NO
PRV52253,NO
PRV52254,NO
PRV52255,NO
PRV52256,NO
PRV52257,NO
PRV52260,NO
PRV52261,NO
PRV52262,NO
PRV52263,NO
PRV52264,NO
PRV52265,NO
PRV52266,NO
PRV52267,NO
PRV52271,NO
PRV52272,NO
PRV52273,NO
PRV52274,NO
PRV52275,NO
PRV52276,NO
PRV52278,NO
PRV52279,NO
PRV52280,YES
PRV52281,NO
PRV52282,NO
PRV52283,YES
PRV52284,NO
PRV52285,NO
PRV52286,NO
PRV52288,NO
PRV52289,NO
PRV52290,NO
PRV52291,NO
PRV52292,YES
PRV52293,NO
PRV52294,NO
PRV52295,NO
PRV52296,NO
PRV52298,NO
PRV52299,NO
PRV52300,NO
PRV52302,NO
PRV52303,NO
PRV52304,NO
PRV52306,NO
PRV52307,YES
PRV52308,YES
PRV52309,NO
PRV52310,NO
PRV52311,NO
PRV52312,NO
PRV52313,NO
PRV52314,NO
PRV52315,NO
PRV52317,NO
PRV52318,NO
PRV52319,NO
PRV52320,YES
PRV52321,YES
PRV52323,NO
PRV52325,YES
PRV52326,NO
PRV52328,NO
PRV52331,NO
PRV52332,NO
PRV52334,NO
PRV52335,NO
PRV52336,NO
PRV52337,YES
PRV52340,YES
PRV52341,NO
PRV52342,NO
PRV52343,YES
PRV52344,NO
PRV52346,NO
PRV52347,YES
PRV52348,NO
PRV52349,NO
PRV52350,NO
PRV52351,NO
PRV52352,NO
PRV52353,NO
PRV52354,NO
PRV52355,NO
PRV52356,NO
PRV52357,NO
PRV52358,NO
PRV52359,NO
PRV52361,NO
PRV52362,NO
PRV52365,NO
PRV52366,NO
PRV52367,NO
PRV52369,NO
PRV52371,NO
PRV52372,NO
PRV52373,NO
PRV52374,NO
PRV52377,NO
PRV52378,NO
PRV52380,NO
PRV52381,NO
PRV52383,YES
PRV52384,NO
PRV52385,NO
PRV52386,NO
PRV52387,NO
PRV52389,NO
PRV52390,NO
PRV52391,NO
PRV52392,NO
PRV52393,NO
PRV52394,NO
PRV52395,NO
PRV52396,YES
PRV52397,NO
PRV52398,NO
PRV52399,NO
PRV52400,NO
PRV52401,NO
PRV52402,NO
PRV52403,NO
PRV52404,NO
PRV52405,NO
PRV52406,NO
PRV52407,NO
PRV52408,NO
PRV52409,NO
PRV52410,NO
PRV52411,NO
PRV52412,NO
PRV52414,NO
PRV52415,NO
PRV52416,NO
PRV52417,NO
PRV52418,NO
PRV52419,NO
PRV52420,YES
PRV52421,NO
PRV52422,NO
PRV52423,NO
PRV52425,NO
PRV52427,NO
PRV52431,NO
PRV52432,NO
PRV52433,NO
PRV52434,NO
PRV52435,NO
PRV52436,NO
PRV52437,NO
PRV52439,NO
PRV52440,NO
PRV52441,NO
PRV52443,NO
PRV52445,YES
PRV52446,NO
PRV52448,NO
PRV52449,NO
PRV52450,NO
PRV52451,NO
PRV52452,NO
PRV52453,NO
PRV52454,NO
PRV52455,NO
PRV52456,NO
PRV52457,NO
PRV52458,NO
PRV52459,NO
PRV52460,NO
PRV52461,NO
PRV52462,NO
PRV52463,NO
PRV52464,NO
PRV52466,NO
PRV52467,YES
PRV52468,NO
PRV52469,NO
PRV52470,NO
PRV52471,NO
PRV52472,NO
PRV52473,NO
PRV52474,NO
PRV52476,NO
PRV52478,NO
PRV52480,NO
PRV52482,NO
PRV52483,NO
PRV52484,NO
PRV52485,NO
PRV52486,NO
PRV52487,NO
PRV52488,NO
PRV52490,NO
PRV52491,NO
PRV52492,NO
PRV52493,NO
PRV52494,NO
PRV52495,NO
PRV52497,YES
PRV52499,NO
PRV52500,NO
PRV52501,NO
PRV52502,YES
PRV52503,NO
PRV52504,YES
PRV52506,NO
PRV52507,NO
PRV52508,NO
PRV52509,NO
PRV52510,NO
PRV52511,YES
PRV52512,NO
PRV52513,NO
PRV52514,NO
PRV52515,NO
PRV52517,NO
PRV52518,NO
PRV52519,NO
PRV52520,NO
PRV52521,NO
PRV52523,NO
PRV52525,NO
PRV52526,NO
PRV52527,NO
PRV52528,NO
PRV52529,NO
PRV52530,NO
PRV52531,NO
PRV52532,NO
PRV52533,NO
PRV52535,NO
PRV52536,NO
PRV52537,NO
PRV52539,NO
PRV52540,NO
PRV52541,NO
PRV52542,NO
PRV52543,NO
PRV52544,NO
PRV52545,NO
PRV52547,NO
PRV52548,NO
PRV52549,NO
PRV52551,NO
PRV52552,NO
PRV52553,NO
PRV52554,NO
PRV52555,NO
PRV52556,NO
PRV52557,NO
PRV52558,NO
PRV52559,NO
PRV52560,NO
PRV52561,NO
PRV52562,NO
PRV52563,NO
PRV52564,NO
PRV52565,NO
PRV52566,NO
PRV52567,NO
PRV52568,NO
PRV52570,NO
PRV52571,NO
PRV52572,NO
PRV52573,NO
PRV52574,YES
PRV52575,NO
PRV52576,NO
PRV52577,NO
PRV52578,YES
PRV52579,NO
PRV52580,NO
PRV52581,NO
PRV52582,NO
PRV52583,NO
PRV52584,NO
PRV52586,NO
PRV52587,NO
PRV52588,NO
PRV52589,YES
PRV52590,YES
PRV52591,NO
PRV52592,NO
PRV52593,YES
PRV52596,NO
PRV52598,NO
PRV52599,NO
PRV52602,NO
PRV52604,NO
PRV52605,NO
PRV52606,NO
PRV52607,NO
PRV52608,NO
PRV52609,YES
PRV52610,NO
PRV52611,NO
PRV52614,NO
PRV52615,NO
PRV52616,NO
PRV52617,NO
PRV52621,NO
PRV52622,NO
PRV52623,NO
PRV52626,NO
PRV52627,NO
PRV52628,YES
PRV52629,NO
PRV52630,YES
PRV52631,NO
PRV52633,NO
PRV52634,NO
PRV52636,NO
PRV52638,NO
PRV52639,NO
PRV52640,NO
PRV52641,NO
PRV52642,YES
PRV52643,NO
PRV52644,NO
PRV52645,NO
PRV52646,NO
PRV52647,NO
PRV52648,YES
PRV52649,YES
PRV52651,NO
PRV52652,YES
PRV52653,NO
PRV52654,NO
PRV52656,NO
PRV52657,NO
PRV52658,NO
PRV52659,NO
PRV52660,NO
PRV52661,NO
PRV52662,NO
PRV52663,NO
PRV52665,NO
PRV52666,NO
PRV52667,NO
PRV52668,NO
PRV52669,NO
PRV52670,NO
PRV52671,NO
PRV52672,NO
PRV52673,NO
PRV52674,NO
PRV52676,NO
PRV52677,NO
